"","geo","year","sector","SFA_per","SFL_per","SFL3","SFL3_per","SFA3","SFA3_per","SFL4","SFL4_per","SFA4","SFA4_per","SFL5","SFL5_per","SFA5","SFA5_per","fixed","GDP","int_paid","divs_paid","infl","bank_size","st","lt","total_debt","divs_paid_per","int_paid_per","fixed_per","debt_to_value","debt_to_gdp","app_int_rate_real","stlt","fin_profit_f3l","fin_profit_f3a","fin_profit_f5a","fin_profit_f5l","Group"
"1","Austria",1995,"S1",70.5,84,64147.1,36.3,23547.5,13.3,10285.6,5.8,16521.9,9.4,18464.5,10.5,12101.6,6.9,630857.8,176609,32693,0,1.8139180592048,123.65,8696.7,65736,74432.7,0,18.5115141357462,357.205918158191,0.801237281640351,0.421454738999711,42.1089814191159,0.132297371303395,0,0,0,0,"Western and Central"
"2","Austria",1995,"S11",32.1,104.1,7263,4.1,9474.7,5.4,100157.7,56.7,3018.1,1.7,60035.9,34,12347.3,7,254777.3,176609,4443,0,1.8139180592048,123.65,33295.8,74124.9,107420.7,0,2.51572683158842,144.260654893012,0.641483823271224,0.608240236907519,2.32215627283735,0.449185091649365,0,0,0,0,"Western and Central"
"3","Austria",1995,"S12",188.4,193.7,54413.8,30.8,62010.5,35.1,3467.9,2,196238,111.1,34616.5,19.6,11014.1,6.2,13044.4,176609,18905,0,1.8139180592048,123.65,6517.2,51364.5,57881.7,0,10.7044374861983,7.38603355434887,0.625760285065007,0.327739243186927,30.8475276136072,0.12688140641883,0,0,0,0,"Western and Central"
"4","Austria",1995,"S13",32.1,69.2,80274,45.5,1437.5,0.8,40719.3,23.1,25646.1,14.5,0,0,19383.8,11,130418.9,176609,7059,0,1.8139180592048,123.65,10319.9,110673.4,120993.3,0,3.99696504708141,73.8461233572468,1,0.685091360009966,4.02028928946657,0.0932464350060629,0,0,0,0,"Western and Central"
"5","Austria",1995,"S14_S15",143,42.2,0,0,28428.4,16.1,74321,42.1,0,0,0,0,45544.2,25.8,232617.3,176609,2286,0,1.8139180592048,123.65,9151.5,65169.5,74321,0,1.29438477087804,131.713162975839,1,0.420822268400818,1.26192860593695,0.140426119580479,0,0,0,0,"Western and Central"
"6","Austria",1995,"S2",84,68.6,23547.5,13.3,64147.1,36.3,16521.9,9.4,10285.6,5.8,12101.6,6.9,18464.5,10.5,0,176609,5760,0,1.8139180592048,123.65,7417.5,32651.9,40069.4,0,3.26144194236987,0,0.768039715550785,0.226881982231936,12.561141212958,0.227169016198139,0,0,0,0,"Western and Central"
"7","Austria",1996,"S1",72.8,87.7,66180.3,36.3,30512.1,16.7,10421.6,5.7,18653.5,10.2,22369.4,12.3,14160.9,7.8,659084.4,182541,29953,0,0.986204273984214,125.56,7537.5,69064.4,76601.9,0,16.4089163530385,361.061021907407,0.773980941949838,0.419642162582653,38.1159589882847,0.109137268983731,0,0,0,0,"Western and Central"
"8","Austria",1996,"S11",32.4,105.1,6464.5,3.5,9647.3,5.3,105570.4,57.8,3923.7,2.1,64545,35.4,13775,7.5,266635.3,182541,4018,0,0.986204273984214,125.56,34454.1,77580.8,112034.9,0,2.20114933083526,146.068718808377,0.634471420586375,0.613751979007456,2.60017818362498,0.444106015921465,0,0,0,0,"Western and Central"
"9","Austria",1996,"S12",196.4,202.4,57092.5,31.3,76265.5,41.8,3659.6,2,207587.1,113.7,44086.1,24.2,13410.3,7.3,13932.3,182541,16779,0,0.986204273984214,125.56,5900.6,54851.5,60752.1,0,9.1919075714497,7.63242230512597,0.579484386416402,0.332813450129012,26.6325940885415,0.107574086396908,0,0,0,0,"Western and Central"
"10","Austria",1996,"S13",29.7,69.7,86037.2,47.1,1363.5,0.7,40043.7,21.9,24234.2,13.3,0,0,20892.2,11.4,135560.8,182541,7158,0,0.986204273984214,125.56,9616.3,116464.6,126080.9,0,3.92131082880011,74.2632066220739,1,0.690699075824061,4.69110291528871,0.0825684371044935,0,0,0,0,"Western and Central"
"11","Austria",1996,"S14_S15",146.7,42.9,0,0,26649.7,14.6,78239.3,42.9,0,0,0,0,52345,28.7,242956,182541,1998,0,0.986204273984214,125.56,10024.5,68214.8,78239.3,0,1.09454862195342,133.09667417183,1,0.428612202190193,1.56749955516559,0.14695491301008,0,0,0,0,"Western and Central"
"12","Austria",1996,"S2",87.7,71.1,30512.1,16.7,66180.3,36.3,18653.5,10.2,10421.6,5.7,14160.9,7.8,22369.4,12.3,0,182541,6185,0,0.986204273984214,125.56,9312.6,39853.1,49165.6,0,3.38827989328425,0,0.776382714977142,0.269340038676243,11.5937296635656,0.233673164697351,0,0,0,0,"Western and Central"
"13","Austria",1997,"S1",81.9,94.7,76100.2,40.3,38644.6,20.5,8401,4.5,22413.7,11.9,28035.2,14.9,22779,12.1,686219.3,188724,30515,0,1.2669984264441,126.92,6090,78411.1,84501.2,0,16.1691146859965,363.609980712575,0.75087882676183,0.447750153663551,34.8449147771554,0.0776675751264808,0,0,0,0,"Western and Central"
"14","Austria",1997,"S11",34.9,112.3,11682.7,6.2,9761.5,5.2,112195.8,59.4,4829.2,2.6,71561.2,37.9,20474.2,10.8,307103.3,188724,4216,0,1.2669984264441,126.92,34840.1,89038.3,123878.5,0,2.23395010703461,162.726150357135,0.633845119492099,0.656400351836544,2.13633629265566,0.391293409689987,0,0,0,0,"Western and Central"
"15","Austria",1997,"S12",203.9,208.1,60088.4,31.8,87242.5,46.2,1960.8,1,216103,114.5,54062.9,28.6,17719.8,9.4,14999.9,188724,17438,0,1.2669984264441,126.92,5087.9,56961.3,62049.2,0,9.23994828426697,7.94806171976007,0.534390472655305,0.328782772726309,26.8365065341356,0.0893220484785284,0,0,0,0,"Western and Central"
"16","Austria",1997,"S13",29.6,65.4,87570.4,46.4,1608.1,0.9,34700.5,18.4,23075.5,12.2,0,0,21718.4,11.5,110649.1,188724,6795,0,1.2669984264441,126.92,9964.2,112306.7,122270.9,0,3.60049596235773,58.6301159364999,1,0.64788209236769,4.29033369428127,0.0887231126905162,0,0,0,0,"Western and Central"
"17","Austria",1997,"S14_S15",147.6,43.1,0,0,23273.8,12.3,81137.9,43,0,0,0,0,60455.6,32,253467,188724,2066,0,1.2669984264441,126.92,10734.8,70403.1,81137.9,0,1.09472033233717,134.30565269918,1,0.429928890867086,1.27928389045096,0.152476240392824,0,0,0,0,"Western and Central"
